X,Y,Current,styrkur,type,flow,vertex_index,vertex_part,vertex_part_index,distance,angle
-26.5921433427155,66.7522408107227,EGC,"3",Arctic,o,"11","0","11",4.25500763862430,256.67640901586373
-27.6105162403341,66.5432782804273,EGC,"3",Arctic,o,"12","0","12",5.29459827809329,256.25601405790280
-28.0390514076535,66.4212694219913,EGC,"3",Arctic,o,"13","0","13",5.74016370669644,252.75628439199224
-28.5446266050528,66.25117199138,EGC,"3",Arctic,o,"14","0","14",6.27358606855045,249.78977565360964
-29.2211343691918,65.98024194126,EGC,"3",Arctic,o,"15","0","15",7.00232871653976,248.17472375438297
-26.2629561091857,63.0932784468744,WIIC,"2",Atlantic,o,"0","0","0",0.00000000000000,73.95558156628388
-25.1049481570474,63.426303658362,WIIC,"2",Atlantic,o,"1","0","1",1.20494323878847,71.59947391559768
-24.7534530198079,63.5595197930906,WIIC,"2",Atlantic,o,"2","0","2",1.58083600282500,66.52539355472770
-24.4838129145283,63.6921557972837,WIIC,"2",Atlantic,o,"3","0","3",1.88133241874956,56.80501338517414
-24.3201028506085,63.8304887647741,WIIC,"2",Atlantic,o,"4","0","4",2.09566159297305,40.86171710204857
-24.2238028130086,63.9850759554546,WIIC,"2",Atlantic,o,"5","0","5",2.27779038466789,25.76826570446682
-24.1660227904487,64.1472004900569,WIIC,"2",Atlantic,o,"6","0","6",2.44990341650180,8.77990980226572
-24.1708377923287,64.2813330286865,WIIC,"2",Atlantic,o,"7","0","7",2.58412235019714,343.97641053988588
-24.2286178148886,64.3814460853612,WIIC,"2",Atlantic,o,"8","0","8",2.69971281314184,321.41069759830418
-24.3586228656484,64.5018855801622,WIIC,"2",Atlantic,o,"9","0","9",2.87693297319986,307.34870941873169
-24.8882730724477,64.831367960348,WIIC,"2",Atlantic,o,"10","0","10",3.50070214558287,304.37709199191471
-25.1819881871273,65.051650756761,WIIC,"2",Atlantic,o,"11","0","11",3.86784391518525,309.24265140079797
-25.4323682848869,65.2740724791864,WIIC,"2",Atlantic,o,"12","0","12",4.20274929878008,314.10780659770904
-25.8031234296464,65.6661318465017,WIIC,"2",Atlantic,o,"13","0","13",4.74235093412352,316.59976613091538
-11.5902889173046,66.1035381549571,NIJ,"3",Arctic,u,"0","0","0",0.00000000000000,310.39630935373748
-11.8258074678624,66.303953995073,NIJ,"3",Arctic,u,"1","0","1",0.30924989349424,304.28473572582999
-12.3936330144126,66.6080770234558,NIJ,"3",Arctic,u,"2","0","2",0.95339014818092,295.90145776091248
-12.7904656406949,66.7816943975796,NIJ,"3",Arctic,u,"3","0","3",1.38654038294908,290.32498294446287
-13.3453860611871,66.9515646785979,NIJ,"3",Arctic,u,"4","0","4",1.96687872000131,285.65346561450218
-14.351985893708,67.2078952820163,NIJ,"3",Arctic,u,"5","0","5",3.00560322682682,280.22895023042418
-16.2393605796846,67.411969334579,NIJ,"3",Arctic,u,"6","0","6",4.90397869658897,281.75979601125994
-16.9814053280173,67.643778508498,NIJ,"3",Arctic,u,"7","0","7",5.68138843517032,294.44983099668451
-17.1330405591983,67.736887375253,NIJ,"3",Arctic,u,"8","0","8",5.85932804403728,327.60508077313011
-17.1588508113142,67.9691464640117,NIJ,"3",Arctic,u,"9","0","9",6.09301684014289,1.97832424455648
-17.1362668407128,68.0934459141732,NIJ,"3",Arctic,u,"10","0","10",6.21935127344818,21.81799199437951
-16.8942957271261,68.4612764285147,NIJ,"3",Arctic,u,"11","0","11",6.65963448581401,9.18625659245110
-16.9104271346985,68.5216240102452,NIJ,"3",Arctic,u,"12","0","12",6.72210090023802,312.21331734912320
-17.6298879124298,68.6406314963052,NIJ,"3",Arctic,u,"13","0","13",7.45133789356185,271.41154519011729
-17.875085307531,68.6123944228982,NIJ,"3",Arctic,u,"14","0","14",7.69815583229205,255.35722599053517
-18.0751147614294,68.5286535350422,NIJ,"3",Arctic,u,"15","0","15",7.91500674588433,236.46747485583251
-18.2557865262408,68.3520428017015,NIJ,"3",Arctic,u,"16","0","16",8.16765994244277,236.21132695799977
-18.7042396567549,68.1595708178449,NIJ,"3",Arctic,u,"17","0","17",8.65567190421994,250.76738775213116
-20.1528400567609,67.764999414624,NIJ,"3",Arctic,u,"18","0","18",10.15704784352936,258.13059397230660
-21.8111487552087,67.5170997576243,NIJ,"3",Arctic,u,"19","0","19",11.83378335615151,263.41976185703129
-23.4662311721421,67.3822392329533,NIJ,"3",Arctic,u,"20","0","20",13.49435108074344,263.21282539840860
-24.0050201850619,67.2977127028658,NIJ,"3",Arctic,u,"21","0","21",14.03973015508693,255.56319888411505
